datetime,stationA,stationB,total,Available
2024-02-22 02:00:00,14,24,38,38.0
2024-02-22 03:00:00,16,24,40,40.0
2024-02-22 04:00:00,16,24,40,40.0
2024-02-22 05:00:00,16,24,40,40.0
2024-02-22 06:00:00,16,22,38,38.0
2024-02-22 07:00:00,12,20,32,32.0
2024-02-22 08:00:00,6,12,18,18.0
2024-02-22 09:00:00,0,6,6,6.0
2024-02-22 10:00:00,4,12,16,16.0
2024-02-22 11:00:00,2,18,20,20.0
2024-02-22 12:00:00,8,14,22,22.0
2024-02-22 13:00:00,2,22,24,24.0
2024-02-22 14:00:00,4,16,20,20.0
2024-02-22 15:00:00,6,16,22,22.0
2024-02-22 16:00:00,6,16,22,22.0
2024-02-22 17:00:00,4,20,24,24.0
2024-02-22 18:00:00,2,14,16,16.0
2024-02-22 19:00:00,6,10,16,16.0
2024-02-22 20:00:00,2,12,14,14.0
2024-02-22 21:00:00,2,12,14,14.0
2024-02-22 22:00:00,4,14,18,18.0
2024-02-22 23:00:00,6,14,20,20.0
2024-02-23 00:00:00,6,18,24,24.0
2024-02-23 01:00:00,8,16,24,24.0
2024-02-23 02:00:00,10,16,26,26.0
2024-02-23 03:00:00,10,18,28,28.0
